product_id,net_sales_amount,net_sales_price,gross_sales_amount,gross_sales_price,average_sales_amount_of_last_5_selling_days,top_selling_location
12f2b3c9e92356f90cd01a04760dfbc,1,87.5,1,87.5,1.0,Aksaray
12f58844da9e650b3e7327467e09e71c,3,16.89,4,23.880000000000003,1.0,Bayburt
12fb80bb360d2d0f6e3a5eb21cd511e3,1,267.9,1,267.9,1.0,İstanbul
12fdaab0efb69aacaa95b1f28434e6bc,1,18.99,1,18.99,1.0,Muğla
12ff5a95c3745b1e5b842e631a43dfbf,1,20.5,1,20.5,1.0,Aksaray
13092ac23fb10ea194258977a6928edb,1,183.32,1,183.32,1.0,Antalya
130f0ba07730c1ad73c333937e26d85c,1,69.99,1,69.99,1.0,Giresun
13170ecc595ee89ef2b44794411abc79,1,65.5,1,65.5,1.0,Ankara
131dd67fd43b57ba1e0fba3618f3120a,9,124.57,9,124.57,1.6,İstanbul
131e206a87b8d059c9d0bec3758efdd1,1,4499.0,1,4499.0,1.0,Giresun
132156f006694bb3ee01c636480b33ec,1,94.95,1,94.95,1.0,İstanbul
1324b5943aa02583a6d8d0619a395b97,1,5.75,1,5.75,1.0,İstanbul
1324e940e8bda8bcc697aed8bccdd74,1,15.31,1,15.31,1.0,İzmir
13265fba5bfd93b35c90f1f6596f7a6c,1,194.99,1,194.99,1.0,İstanbul
13282d782240f2430ca7eea9de117fd2,1,19.9,1,19.9,1.0,Bayburt
1329f3f3208daf41cece2e62298da0ef,1,199.85,1,199.85,1.0,Muğla
132c20b4a76b9652213e2ab306747de8,1,69.9,1,69.9,1.0,İstanbul
1335b5cc41ee25e220d95810a95f9d4,2,596.0,2,596.0,1.0,İstanbul
1336186430c11165017227b19558684,1,109.0,1,109.0,1.0,İstanbul
133ad6ef9837de6bbc8eabdab9dab757,1,13.4,1,13.4,1.0,Giresun
133c8898fc0fe9160d80082a81b85f6f,2,71.9,2,71.9,1.0,Ankara
133e7e3aface7eb5374367ec3a0d498f,1,129.99,1,129.99,1.0,Ankara
13407ef13fb1d5d8e6b5a872ad3d71d7,1,580.0,1,580.0,1.0,Aksaray
13415391f8a55e5640b354b90f43118d,1,160.0,1,160.0,1.0,Muğla
13441f49150d67f35a8a1001514c7881,1,73.9,1,73.9,1.0,İstanbul
1346bd33f794ffe32e228f22e43bbe26,2,309.9,2,309.9,1.0,Muş
1346cd29787fc3934454aa46abc4c166,1,44.99,1,44.99,1.0,Muğla
13472d40de3a0088c0b103c43ee50c76,1,133.0,1,133.0,1.0,Giresun
134b04a060d24b731e55b1db1605d45b,1,27.48,1,27.48,1.0,Ankara
134b065b9de217cd50eb536427764909,1,99.99,1,99.99,1.0,İstanbul
134e587f76edd5db300e0a4ddc676c85,1,9.9,1,9.9,1.0,İstanbul
1357457c44ac9d67ba3951d571cf3bef,1,199.0,1,199.0,1.0,İzmir
1359baae8c0851dfbef13c2693612029,1,29.9,1,29.9,1.0,İzmir
135aaae59d61768b5f25a01c21916c6,1,92.15,1,92.15,1.0,İstanbul
13631dd036db3e1c9144337dec059c8,1,25.0,1,25.0,1.0,Ankara
136b9302be0cb07914eae95d70ca9254,2,59.8,2,59.8,2.0,İstanbul
13725f9bdbf3d8740dbee4428babc868,1,39.99,1,39.99,1.0,İzmir
13751a98d717a5e040f69e58c5f6e774,1,71.99,1,71.99,1.0,İstanbul
13772d943d46f676838c69280ed196c3,1,22.9,1,22.9,1.0,İstanbul
